NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1 [%],top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level
CNV,ZCU104-Bismo,INT2,,64,,,,,,,,,,,,100%,l3
CNV,ZCU104-Bismo,INT2,,128,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,2,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,4,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,8,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,16,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,32,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,64,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT4,,128,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,2,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,4,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,8,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,16,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,32,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,64,,,,,,,,,,,,100%,l3
CNV,U96-Quadcore A53,INT2,,128,,,,,,,,,,,,100%,l3
MLP,NCS,FP16,na,1,2.89257,218.893,345.713,1.84518,2.91422,98.86,,0.53,1.2,1.794,,100%,l3
MLP,NCS,FP16,na,2,4.68459,247.308,426.931,2.08471,3.59886,98.86,,0.53,1.2,1.949,,100%,l3
MLP,NCS,FP16,na,4,8.11821,269.491,492.719,2.2717,4.15343,98.86,,0.53,1.2,1.946,,100%,l3
MLP,NCS,FP16,na,8,14.8038,282.686,540.4,2.38293,4.55536,98.86,,0.53,1.2,2.084,,100%,l3
MLP,NCS,FP16,na,16,27.4935,292.848,581.956,2.46859,4.90565,98.86,,0.53,1.2,2.136,,100%,l3
MLP,NCS,FP16,na,32,53.0572,297.97,603.122,2.51177,5.08408,98.86,,0.53,1.2,2.135,,100%,l3
MLP,NCS,FP16,na,64,104.435,301.514,612.823,2.54164,5.16586,98.86,,0.53,1.2,2.186,,100%,l3
MLP,NCS,FP16,na,128,206.007,303.434,621.337,2.55783,5.23762,98.86,,0.53,1.2,2.212,,100%,l3
MLP,TPU,INT8,slow,1,,,,,,,,,,,,100%,l3
MLP,TPU,INT8,fast,1,,,,,,,,,,,,100%,l3
MLP,GPU,FP16,maxn,1,0.627301,1124.04,1623.38,9.4752,13.6844,97.3,,1.8,5.7,13.557,,100%,l3
MLP,GPU,FP16,maxn,2,0.646729,1954.2,3153.5,16.4731,26.5827,97.3,,1.8,5.7,13.507,,100%,l3
MLP,GPU,FP16,maxn,4,0.67507,2994.15,6037.66,25.2395,50.8951,97.3,,1.8,5.7,13.827,,100%,l3
MLP,GPU,FP16,maxn,8,1.02061,3750.92,8049.18,31.6187,67.8513,97.3,,1.8,5.7,13.112,,100%,l3
MLP,GPU,FP16,maxn,16,1.12758,5120,14670.5,43.1596,123.666,97.3,,1.8,5.7,15.017,,100%,l3
MLP,GPU,FP16,maxn,32,1.14091,6360.25,34602.8,53.6143,291.688,97.3,,1.8,5.7,15.274,,100%,l3
MLP,GPU,FP16,maxn,64,1.20575,7529.41,65181.4,63.4699,549.453,97.3,,1.8,5.7,15.666,,100%,l3
MLP,GPU,FP16,maxn,128,2.03175,7876.92,70611,66.3993,595.222,97.3,,1.8,5.7,16.084,,100%,l3
MLP,GPU,FP16,maxq,1,0.812043,902.998,1235.08,7.61191,10.4112,97.3,,1.8,4.15,7.994,,100%,l3
MLP,GPU,FP16,maxq,2,0.853039,1526.08,2359.22,12.8642,19.8873,97.3,,1.8,4.15,7.969,,100%,l3
MLP,GPU,FP16,maxq,4,0.871484,2455.64,4643.89,20.7,39.1461,97.3,,1.8,4.15,8.216,,100%,l3
MLP,GPU,FP16,maxq,8,1.39715,2884.51,5725.53,24.3152,48.2639,97.3,,1.8,4.15,7.799,,100%,l3
MLP,GPU,FP16,maxq,16,1.47539,3968.99,10921.6,33.457,92.0649,97.3,,1.8,4.15,8.912,,100%,l3
MLP,GPU,FP16,maxq,32,1.36103,4946.86,24139.6,41.7001,203.487,97.3,,1.8,4.15,8.292,,100%,l3
MLP,GPU,FP16,maxq,64,1.66987,5505.38,44900.5,46.4081,378.493,97.3,,1.8,4.15,8.423,,100%,l3
MLP,GPU,FP16,maxq,128,2.8575,5657.46,48789.8,47.6901,411.278,97.3,,1.8,4.15,8.988,,100%,l3
MLP,GPU,FP16,maxp,1,0.698266,976.168,1466.41,8.2287,12.3613,97.3,,1.8,4.7,9.881,,100%,l3
MLP,GPU,FP16,maxp,2,0.73998,1635.78,2785.55,13.789,23.481,97.3,,1.8,4.7,9.903,,100%,l3
MLP,GPU,FP16,maxp,4,0.766234,2515.97,5392.6,21.2086,45.4574,97.3,,1.8,4.7,10.262,,100%,l3
MLP,GPU,FP16,maxp,8,1.16167,3093.66,7027.46,26.0783,59.2387,97.3,,1.8,4.7,9.645,,100%,l3
MLP,GPU,FP16,maxp,16,1.24863,4112.45,13008,34.6663,109.652,97.3,,1.8,4.7,11.359,,100%,l3
MLP,GPU,FP16,maxp,32,1.20156,5044.33,29751.9,42.5217,250.796,97.3,,1.8,4.7,10.959,,100%,l3
MLP,GPU,FP16,maxp,64,1.37056,5688.89,56369,47.9551,475.168,97.3,,1.8,4.7,11.215,,100%,l3
MLP,GPU,FP16,maxp,128,2.305,5885.06,61409.3,49.6087,517.656,97.3,,1.8,4.7,12.142,,100%,l3
MLP,GPU,FP32,maxn,1,0.723237,1099.89,1372.01,9.27165,11.5655,97.31,,1.8,5.7,14.116,,100%,l3
MLP,GPU,FP32,maxn,2,0.786377,1732.66,2563.21,14.6056,21.6068,97.31,,1.8,5.7,14.264,,100%,l3
MLP,GPU,FP32,maxn,4,0.778836,2951.01,5187.96,24.8758,43.7324,97.31,,1.8,5.7,14.747,,100%,l3
MLP,GPU,FP32,maxn,8,1.08468,3806.69,7501.17,32.0889,63.2319,97.31,,1.8,5.7,15.508,,100%,l3
