NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,TX2-maxp,FP16,maxp,8,1.79,0.307859,4697.25,29380.5,8.7462795,54.706491,97.44,,1.8,4.7,8.149,0.014896,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0007072925856491692,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,16,3.31,0.363625,5171.72,56844.7,9.62974264,105.84483139999999,97.44,,1.8,4.7,8.354,0.029792,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.000835412531245405,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,32,6.15,0.5263439999999999,5919.08,115863.0,11.02132696,215.736906,97.44,,1.8,4.7,8.161,0.059584,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0012092523158359063,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,64,11.14,0.661312,5988.3,145166.0,11.1502146,270.299092,97.44,,1.8,4.7,8.74,0.119168,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0015193353918541391,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxp,FP16,maxp,128,21.25,0.800375,6243.9,220832.0,11.6261418,411.189184,97.44,,1.8,4.7,8.066,0.238336,25.0,l3,1.15,59.7,0.0019,TX2-maxp_FP16_25%_MLP,0.0018388265512424642,FP16_TX2-maxp,TX2-maxp_FP16_MLP_25.0
MLP,TX2-maxn,FP16,maxn,1,0.55,0.29443600000000003,1831.84,3479.36,10.661308799999999,20.249875199999998,97.46,,1.8,5.7,11.935,0.00582,50.0,l3,1.33,59.7,0.0058200000000000005,TX2-maxn_FP16_50%_MLP,0.0006764538303190708,FP16_TX2-maxn,TX2-maxn_FP16_MLP_50.0
MLP,TX2-maxn,FP16,maxn,2,0.68,0.30696100000000004,3002.93,6664.67,17.477052599999997,38.7883794,97.46,,1.8,5.7,11.91,0.01164,50.0,l3,1.33,59.7,0.0058200000000000005,TX2-maxn_FP16_50%_MLP,0.0007052294699308926,FP16_TX2-maxn,TX2-maxn_FP16_MLP_50.0
MLP,TX2-maxn,FP16,maxn,4,0.92,0.31645700000000004,4471.62,13287.8,26.024828399999997,77.33499599999999,97.46,,1.8,5.7,12.110999999999999,0.02328,50.0,l3,1.33,59.7,0.0058200000000000005,TX2-maxn_FP16_50%_MLP,0.0007270461145419792,FP16_TX2-maxn,TX2-maxn_FP16_MLP_50.0
MLP,TX2-maxn,FP16,maxn,8,1.55,0.45228100000000004,5505.38,18294.9,32.0413116,106.476318,97.46,,1.8,5.7,12.046,0.04656,50.0,l3,1.33,59.7,0.0058200000000000005,TX2-maxn_FP16_50%_MLP,0.0010390958131157183,FP16_TX2-maxn,TX2-maxn_FP16_MLP_50.0
MLP,TX2-maxn,FP16,maxn,16,2.45,0.470938,6872.48,35096.1,39.99783359999999,204.259302,97.46,,1.8,5.7,13.36,0.09312,50.0,l3,1.33,59.7,0.0058200000000000005,TX2-maxn_FP16_50%_MLP,0.0010819594544919865,FP16_TX2-maxn,TX2-maxn_FP16_MLP_50.0
