NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
GoogLeNetv1,TX2-maxn,FP32,maxn,64,592.89,412.349,107.529,155.17,336.56577,485.68209999999993,66.956,87.844,1.8,5.7,13.53,200.32,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.34330374983348877,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxn,FP32,maxn,128,"1,216.02",814.8689999999999,103.455,156.718,323.81415,490.5273399999999,66.956,87.844,1.8,5.7,13.17,400.64,100.0,l3,0.67,59.7,3.1,TX2-maxn_FP32_100%_GoogLeNetv1,0.6784243039829493,FP32_TX2-maxn,TX2-maxn_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,1,17.95,12.9129,55.3573,79.22800000000001,173.268349,247.98364,66.956,87.844,1.8,4.15,6.7,3.13,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.010750715998401493,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,2,31.61,22.916999999999998,63.0193,88.3972,197.250409,276.68323599999997,66.956,87.844,1.8,4.15,6.89,6.26,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.019079692287198614,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,4,58.19,42.0678,68.6603,95.3977,214.90673900000002,298.594801,66.956,87.844,1.8,4.15,7.02,12.52,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.035023811109631015,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,8,110.11,79.6658,72.5675,100.62700000000001,227.13627499999998,314.96251,66.956,87.844,1.8,4.15,7.11,25.04,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.06632626215532171,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,16,214.93,154.982,74.5649,103.29299999999999,233.38813699999997,323.30708999999996,66.956,87.844,1.8,4.15,7.16,50.08,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.1290312375116558,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,32,420.74,304.5,75.9926,105.07,237.85683799999998,328.86909999999995,66.956,87.844,1.8,4.15,7.18,100.16,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.25351338750499536,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,64,858.86,604.7819999999999,74.1009,105.806,231.935817,331.17278,66.956,87.844,1.8,4.15,7.08,200.32,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,0.5035150526175569,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP32,maxq,128,"1,759.91",1201.12,72.5264,106.564,227.00763199999997,333.54531999999995,66.956,87.844,1.8,4.15,7.02,400.64,100.0,l3,0.44,59.7,3.1,TX2-maxq_FP32_100%_GoogLeNetv1,1.0,FP32_TX2-maxq,TX2-maxq_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,1,14.66,10.2465,67.515,100.03299999999999,211.32195,313.10328999999996,66.956,87.844,1.8,4.7,9.15,3.13,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.008530787931264154,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP32,maxp,2,25.75,18.0468,77.2597,112.34899999999999,241.822861,351.65236999999996,66.956,87.844,1.8,4.7,9.37,6.26,100.0,l3,0.57,59.7,3.1,TX2-maxp_FP32_100%_GoogLeNetv1,0.01502497668842414,FP32_TX2-maxp,TX2-maxp_FP32_GoogLeNetv1_100.0
