NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun,norm-lat-comp,quant_model
CNV,GPU,FP16,maxp,8,1.8905299999999998,1906.89,4365.68,,,85.57,,1.8,4.7,8.4,,50.0,l3,GPU_FP16_50%,0.0001298340259192814,FP16_GPU
CNV,GPU,FP16,maxp,16,3.09003,2155.79,5392.77,,,85.57,,1.8,4.7,7.6,,50.0,l3,GPU_FP16_50%,0.00021221088007667538,FP16_GPU
CNV,GPU,FP16,maxp,32,5.44719,2316.74,6025.16,,,85.57,,1.8,4.7,7.5,,50.0,l3,GPU_FP16_50%,0.00037409118482502286,FP16_GPU
CNV,GPU,FP16,maxp,64,10.1511,2432.3,6478.43,,,85.57,,1.8,4.7,7.5,,50.0,l3,GPU_FP16_50%,0.0006971368772297808,FP16_GPU
CNV,GPU,FP16,maxp,128,19.2563,2528.4,6618.15,,,85.57,,1.8,4.7,8.4,,50.0,l3,GPU_FP16_50%,0.0013224455328978955,FP16_GPU
CNV,GPU,FP32,maxp,1,0.7516649999999999,853.3330000000001,1327.07,,,85.6,,1.8,4.7,8.5,,50.0,l3,GPU_FP32_50%,5.162134062544189e-05,FP32_GPU
CNV,GPU,FP32,maxp,2,1.2014799999999999,1058.95,1675.52,,,85.6,,1.8,4.7,9.2,,50.0,l3,GPU_FP32_50%,8.251283262444828e-05,FP32_GPU
CNV,GPU,FP32,maxp,4,2.02807,1245.74,2001.73,,,85.6,,1.8,4.7,9.2,,50.0,l3,GPU_FP32_50%,0.00013927972206001336,FP32_GPU
CNV,GPU,FP32,maxp,8,3.0600099999999997,1508.1,2638.56,,,85.6,,1.8,4.7,9.1,,50.0,l3,GPU_FP32_50%,0.000210149226752953,FP32_GPU
CNV,GPU,FP32,maxp,16,5.21547,1678.69,3124.47,,,85.6,,1.8,4.7,9.3,,50.0,l3,GPU_FP32_50%,0.00035817758362006135,FP32_GPU
CNV,GPU,FP32,maxp,32,9.29947,1818.83,3455.32,,,85.6,,1.8,4.7,9.2,,50.0,l3,GPU_FP32_50%,0.0006386503409179329,FP32_GPU
CNV,GPU,FP32,maxp,64,17.423,1903.35,3713.93,,,85.6,,1.8,4.7,9.3,,50.0,l3,GPU_FP32_50%,0.0011965418340844313,FP32_GPU
CNV,GPU,FP32,maxp,128,33.7164,1943.07,3744.29,,,85.6,,1.8,4.7,9.3,,50.0,l3,GPU_FP32_50%,0.0023155072659544465,FP32_GPU
CNV,ZCU104-FINN,INT4,,1,0.507,,1972.3870000000002,,234.561690049024,84.88,,9.2,12.0,14.675,,50.0,l3,ZCU104-FINN_INT4_50%,3.481872868511776e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,2,0.68,,2941.176,,349.772744036352,84.88,,9.2,12.0,14.475,,50.0,l3,ZCU104-FINN_INT4_50%,4.6699675554004096e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,4,0.972,,4115.226,,489.39400102195196,84.88,,9.2,12.0,14.75,,50.0,l3,ZCU104-FINN_INT4_50%,6.675306564484114e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,8,1.456,,5486.968000000001,,652.525334695936,84.88,,9.2,12.0,15.0,,50.0,l3,ZCU104-FINN_INT4_50%,9.999224648033817e-05,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,16,2.432,,6576.243,,782.0649153807359,84.88,,9.2,12.0,14.975,,50.0,l3,ZCU104-FINN_INT4_50%,0.0001670200160990264,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,32,4.3839999999999995,,7304.268,,868.643651905536,84.88,,9.2,12.0,14.975,,50.0,l3,ZCU104-FINN_INT4_50%,0.0003010755553364028,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,64,8.25,,7732.27,,919.5428276070401,84.88,,9.2,12.0,15.8,,50.0,l3,ZCU104-FINN_INT4_50%,0.0005665769460596084,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,128,16.128,,7965.151999999999,,947.237795938304,84.88,,9.2,12.0,17.125,,50.0,l3,ZCU104-FINN_INT4_50%,0.0011076064225514382,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,256,31.744,,8086.935,,961.72056544512,84.88,,9.2,12.0,20.275,,50.0,l3,ZCU104-FINN_INT4_50%,0.00218005073645045,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,512,62.976000000000006,,8149.233,,969.129215049216,84.88,,9.2,12.0,21.175,,50.0,l3,ZCU104-FINN_INT4_50%,0.004324939364248473,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT4,,10000,1218.125,,8209.332,,976.276353521664,85.88,,9.2,12.0,21.3575,,50.0,l3,ZCU104-FINN_INT4_50%,0.08365594453561946,INT4_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,1,0.27,,3703.704,,440.454672273408,84.29,,9.2,12.0,13.75,,50.0,l3,ZCU104-FINN_INT2_50%,1.8542518234678098e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,2,0.366,,5449.590999999999,,648.080358994432,84.29,,9.2,12.0,13.725,,50.0,l3,ZCU104-FINN_INT2_50%,2.5135413607008085e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,4,0.528,,7575.758000000001,,900.9299898460159,84.29,,9.2,12.0,13.475,,50.0,l3,ZCU104-FINN_INT2_50%,3.626092454781494e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,8,0.7759999999999999,,10309.278,,1226.00771089306,84.29,,9.2,12.0,13.475,,50.0,l3,ZCU104-FINN_INT2_50%,5.329257092633407e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,16,1.248,,12892.828000000001,,1533.25058682266,84.29,,9.2,12.0,13.675,,50.0,l3,ZCU104-FINN_INT2_50%,8.570763984028987e-05,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,32,2.176,,14739.751,,1752.89175271475,84.29,,9.2,12.0,13.5,,50.0,l3,ZCU104-FINN_INT2_50%,0.0001494389617728131,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,64,4.032,,15880.893,,1888.59949977754,84.29,,9.2,12.0,13.775,,50.0,l3,ZCU104-FINN_INT2_50%,0.00027690160563785955,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,128,7.808,,16516.129,,1964.1435130670102,84.29,,9.2,12.0,14.1,,50.0,l3,ZCU104-FINN_INT2_50%,0.0005362221569495058,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,256,15.104000000000001,,16855.412,,2004.49198113382,84.29,,9.2,12.0,14.875,,50.0,l3,ZCU104-FINN_INT2_50%,0.001037282205246585,INT2_ZCU104-FINN
CNV,ZCU104-FINN,INT2,,512,30.208000000000002,,17029.769,,2025.22699540429,84.29,,9.2,12.0,15.775,,50.0,l3,ZCU104-FINN_INT2_50%,0.00207456441049317,INT2_ZCU104-FINN
CNV,ZCU104-Bismo,INT2,,2,9.1143339,,219.43457656296698,,,84.29,,9.2,,15.0,,50.0,l3,ZCU104-Bismo_INT2_50%,0.0006259359353247953,INT2_ZCU104-Bismo
CNV,ZCU104-Bismo,INT2,,4,16.680774,,239.79702620513902,,,84.29,,9.2,,15.15,,50.0,l3,ZCU104-Bismo_INT2_50%,0.001145568726161275,INT2_ZCU104-Bismo
CNV,ZCU104-Bismo,INT2,,8,31.695207699999997,,252.40408820542302,,,84.29,,9.2,,15.25,,50.0,l3,ZCU104-Bismo_INT2_50%,0.002176699876774665,INT2_ZCU104-Bismo
CNV,ZCU104-Bismo,INT2,,16,63.4222652,,252.277334301204,,,84.29,,9.2,,15.475,,50.0,l3,ZCU104-Bismo_INT2_50%,0.004355587070205889,INT2_ZCU104-Bismo
CNV,ZCU104-Bismo,INT2,,32,121.25561370000001,,263.90530733836005,,,84.29,,9.2,,15.475,,50.0,l3,ZCU104-Bismo_INT2_50%,0.008327349733664197,INT2_ZCU104-Bismo
CNV,ZCU104-Bismo,INT2,,64,247.77383799999998,,258.300071212522,,,84.29,,9.2,,15.6,,50.0,l3,ZCU104-Bismo_INT2_50%,0.017016114478485837,INT2_ZCU104-Bismo
