NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
RN50,ZCU102-DPU,INT8,,8,44.4062,167.292,191.908,1481.52976,1291.49424,72.53,90.85,20.0,29.0,40.6,,100.0,l3,ZCU102-DPU_INT8_100%_RN50,0.006326480602926301,INT8_ZCU102-DPU,ZCU102-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,1,14.9622,42.0869,66.8486,324.910868,516.071192,72.53,90.85,9.2,,21.4111,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.0021316408086506813,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,2,16.631,101.87700000000001,120.61200000000001,786.49044,931.12464,72.53,90.85,9.2,,25.7835,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.00236939208730464,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,3,22.4568,117.459,133.33100000000002,906.78348,1029.31532,72.53,90.85,9.2,,26.3943,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.0031993845364790357,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,4,30.4797,118.944,131.841,918.2476800000001,1017.81252,72.53,90.85,9.2,,26.5316,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.00434239432405864,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,5,37.2594,122.26100000000001,138.253,943.8549199999999,1067.31316,72.53,90.85,9.2,,26.8179,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.005308287387271872,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,6,45.265,122.665,136.83700000000002,946.9738,1056.38164,72.53,90.85,9.2,,26.8338,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.006448832471399467,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,7,53.6118,122.198,135.73,943.36856,1047.8356,72.53,90.85,9.2,,26.8572,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.007637987776210625,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,ZCU104-DPU,INT8,,8,62.2966,122.805,135.247,948.0546,1044.1068400000001,72.53,90.85,9.2,,26.8942,,100.0,l3,ZCU104-DPU_INT8_100%_RN50,0.008875297402800929,INT8_ZCU104-DPU,ZCU104-DPU_INT8_RN50_100.0
RN50,Ultra96-DPU,INT8,,1,39.275999999999996,23.6524,25.4261,182.596528,196.289492,73.29,91.26,2.5,6.8,8.25072,,100.0,l3,Ultra96-DPU_INT8_100%_RN50,0.005595589178099755,INT8_Ultra96-DPU,Ultra96-DPU_INT8_RN50_100.0
