NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,ZCU104-Bismo,INT2,,32,,20.320172,,1574.78982,,31.541465304779997,98.75,,9.2,14.3,15.175,0.6409279999999999,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.04668470629319218,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT2,,64,,39.836965,,1606.548089,,32.177551674581004,98.75,,9.2,14.3,15.4,1.2818559999999999,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.09152368447654756,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,ZCU104-Bismo,INT2,,128,,79.756498,,1604.884909,,32.144239842361,98.75,,9.2,14.3,15.225,2.5637119999999998,100.0,l3,ZCU104-Bismo_INT2_100%_MLP,0.18323706532127626,INT2_ZCU104-Bismo,ZCU104-Bismo_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT4,,2,,101.382,,19.72736778,,0.39511944926562,98.77,,9.2,14.3,15.31428571,0.040057999999999996,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.232920710189678,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,4,,102.873,,38.88289444,,0.7787854927387601,98.77,,9.2,14.3,15.32066327,0.08011599999999999,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.23634621746801934,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,8,,100.44,,79.64954202,,1.59530067711858,98.77,,9.2,14.3,15.3203535,0.16023199999999999,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.2307565063961182,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,16,,124.383,,128.6349421,,2.5764292553208996,98.77,,9.2,14.3,15.32180732,0.32046399999999997,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.2857645015438906,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,32,,170.25,,187.958884,,3.764628487636001,98.77,,9.2,14.3,15.31086499,0.6409279999999999,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.3911419276576974,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,64,,253.227,,252.7376623,,5.062082638206701,98.77,,9.2,14.3,15.32056963,1.2818559999999999,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.5817779554477283,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT4,,128,,434.834,,294.365206,,5.895840710973999,98.77,,9.2,14.3,15.32203889,2.5637119999999998,100.0,l3,U96-Quadcore A53_INT4_100%_MLP,0.999012093809734,INT4_U96-Quadcore A53,U96-Quadcore A53_INT4_MLP_100.0
MLP,U96-Quadcore A53,INT2,,2,,100.792,,19.84284467,,0.3974323358954301,98.75,,9.2,14.3,15.32361309,0.040057999999999996,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.2315652109983826,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
MLP,U96-Quadcore A53,INT2,,4,,101.204,,39.52412948,,0.7916287893549201,98.75,,9.2,14.3,15.33422831,0.08011599999999999,100.0,l3,U96-Quadcore A53_INT2_100%_MLP,0.2325117629760329,INT2_U96-Quadcore A53,U96-Quadcore A53_INT2_MLP_100.0
